predio,id,estado_uno,estatus_agosto,idea_final,zona,nombre,demolicion,rehabilitacion,cn_cdh,cn_rest,cn_comercial,costo_alberca,costo_av,costo_estacionamiento,costo_terraza,costo_terreno,cuartos_uso_suelo,camaristas,recepcionistas,gerentes,cost_sevicios_cdh,cost_servicios_rest,cost_servicios_comercial,cost_nom_camarista,cost_nom_recep,cost_nom_geren,cost_nomina_t,cost_imp_benef_nomina,ing_renta_hab,aumento_amenidades,aumento_rehab,aumento_cdh,aumento_rest,aumento_comer,aforo_rest,mesas_rest,nomina_rest_t,costo_imp_benef_nom_rest,ingresos_rest,ingresos_comercial
Predio 01,1,BUENO,POSIBLECOMPRA,HOTEL,TRADICIONAL,TEMPLO,58794762.71,31032271.79,56136370.31,49563107.32,46724160.18,0,3249.008,0,0,21278373.88,14,1,3,1,126000,37800,84000,120000,432000,720000,1272000,246259.2,3372600,259.92064,6206454.358,36488640.7,12390776.83,30370704.11,250,63,3984000,771302.4,7144200,2940000
Predio 02,2,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,CLUB VACACIONAL GRAN VIA TROPICAL,385186852.5,,367770712.8,324706766.8,306107744.3,0,20201.936,0,0,82355684.7,52,4,3,1,468000,37800,312000,480000,432000,720000,1632000,315955.2,12526800,1616.15488,0,239050963.3,81176691.71,198970033.8,250,63,3984000,771302.4,7144200,10920000
Predio 04,5,BUENO,POSIBLECOMPRA,HOTEL,TRADICIONAL,AGENCIA DE AUTOS,37759068.57,19929490.73,36051800.51,31830331.16,30007107.55,0,4085.168,0,0,14348162.54,9,1,3,1,81000,30000,54000,120000,432000,720000,1272000,246259.2,2168100,326.81344,3985898.146,23433670.33,7957582.791,19504619.91,197,50,3384000,655142.4,5670000,1890000
Predio 05,6,BUENO,POSIBLECOMPRA,HOTEL,TRADICIONAL,VISTA SECRETA DEPARTAMENTOS,52751914.46,27842815.78,50366748.13,44469076.44,41921912.55,0,10201.488,205932.6447,0,12957563.98,9,1,3,1,81000,37800,54000,120000,432000,720000,1272000,246259.2,2168100,17290.73062,5568563.156,32738386.28,11117269.11,27249243.16,250,63,3984000,771302.4,7144200,1890000
Predio 06,7,NECESITA REPARACIONES MENORES,POSIBLECOMPRA,HOTEL,TRADICIONAL,HOTEL CARIBE,32650001.32,17232890.62,31173738.62,27523463.74,25946935.09,757709.0167,6577.61,740655.6771,0,17360263.42,11,1,3,1,99000,25800,66000,120000,432000,720000,1272000,246259.2,2649900,173435.0155,3446578.124,20262930.1,6880865.935,16865507.81,170,43,3024000,585446.4,4876200,2310000
Predio 07,8,BUENO,POSIBLECOMPRA,HOTEL,TRADICIONAL,FRENTE  A LOS FLAMINGOS,12972901.53,6847184.808,12386334.61,10935962.34,10309556.51,0,3117.906,79210.25446,182425.792,6773272.91,8,1,3,1,72000,10200,48000,120000,432000,720000,1272000,246259.2,1927200,24828.83204,1369436.962,8051117.494,2733990.584,6701211.733,68,17,1560000,302016,1927800,1680000
Predio 08,17,BUENO,POSIBLECOMPRA,HOTEL,TRADICIONAL,MERCADO DEL RIO,13140560.61,6935676.403,12546413.02,11077296.44,10442795.08,344641.6245,34243.24,131841.0457,0,19891287.22,22,1,3,1,198000,10800,132000,120000,432000,720000,1272000,246259.2,5299800,64982.98653,1387135.281,8155168.466,2769324.111,6787816.803,69,18,1560000,302016,2041200,4620000
Predio 11,22,NECESITA REPARACIONES MENORES,POSIBLECOMPRA,RESTAURANTE,TRADICIONAL,BANANAS LE CLUB,16864954.82,8901436.754,16102409.56,14216905.17,13402568.77,0,9003.067,0,0,14021940.19,16,1,3,1,144000,13200,96000,120000,432000,720000,1272000,246259.2,3854400,720.24536,1780287.351,10466566.21,3554226.292,8711669.7,88,22,1800000,348480,2494800,3360000
Predio 12,26,NECESITA REPARACIONES MENORES,POSIBLECOMPRA,HOTEL,TRADICIONAL,HOTEL CALETA,814225662.1,429753788.9,777410626,686380078.9,647064610.9,9593245.836,644541.73,7307798.008,17835480.38,352519245.2,221,18,9,1,1989000,37800,1326000,2160000,1296000,720000,4176000,808473.6,53238900,3858722.093,85950757.78,505316906.9,171595019.7,420591997.1,250,63,3984000,771302.4,7144200,46410000
Predio 13,33,NECESITA REPARACIONES MENORES,POSIBLECOMPRA,HOTEL,TRADICIONAL,CONDOMINIO COYUCA,16549412.19,8734891.229,15801134.12,13950907.44,13151807.24,0,28385.916,411832.7504,971373.056,13496147.3,15,1,3,1,135000,13200,90000,120000,432000,720000,1272000,246259.2,3613500,132354.7989,1746978.246,10270737.18,3487726.86,8548674.708,86,22,1800000,348480,2494800,3150000
